01:51:35:583;Worker has topology config {"storm.id" "sg-app-storm-180-1406080291", "dev.zookeeper.path" "/tmp/dev-storm-zookeeper", "topology.tick.tuple.freq.secs" nil, "topology.fall.back.on.java.serialization" true, "topology.max.error.report.per.interval" 5, "zmq.linger.millis" 5000, "topology.skip.missing.kryo.registrations" false, "ui.childopts" "-Xmx768m -Djava.net.preferIPv4Stack=true", "storm.zookeeper.session.timeout" 20000, "nimbus.reassign" true, "topology.trident.batch.emit.interval.millis" 500, "nimbus.monitor.freq.secs" 10, "java.library.path" "/usr/local/lib:/opt/local/lib:/usr/lib", "topology.executor.send.buffer.size" 1024, "storm.local.dir" "/app/storm", "supervisor.worker.start.timeout.secs" 120, "topology.enable.message.timeouts" true, "nimbus.cleanup.inbox.freq.secs" 600, "nimbus.inbox.jar.expiration.secs" 3600, "drpc.worker.threads" 64, "topology.worker.shared.thread.pool.size" 4, "nimbus.host" "telles-storm-nimbus", "storm.zookeeper.port" 2181, "transactional.zookeeper.port" nil, "topology.executor.receive.buffer.size" 1024, "transactional.zookeeper.servers" nil, "storm.zookeeper.root" "/storm", "supervisor.enable" true, "storm.zookeeper.servers" ["telles-zkserver"], "transactional.zookeeper.root" "/transactional", "topology.acker.executors" 1, "topology.kryo.decorators" (), "topology.name" "sg-app-storm", "topology.transfer.buffer.size" 1024, "topology.worker.childopts" nil, "drpc.queue.size" 128, "worker.childopts" "-Xmx768m -Djava.net.preferIPv4Stack=true", "supervisor.heartbeat.frequency.secs" 5, "topology.error.throttle.interval.secs" 10, "zmq.hwm" 0, "drpc.port" 3772, "supervisor.monitor.frequency.secs" 3, "topology.receiver.buffer.size" 8, "task.heartbeat.frequency.secs" 3, "topology.tasks" nil, "topology.spout.wait.strategy" "backtype.storm.spout.SleepSpoutWaitStrategy", "topology.max.spout.pending" nil, "storm.zookeeper.retry.interval" 1000, "topology.sleep.spout.wait.strategy.time.ms" 1, "nimbus.topology.validator" "backtype.storm.nimbus.DefaultTopologyValidator", "supervisor.slots.ports" [6700 6701 6702 6703], "topology.debug" false, "nimbus.task.launch.secs" 120, "nimbus.supervisor.timeout.secs" 60, "topology.kryo.register" nil, "topology.message.timeout.secs" 30, "task.refresh.poll.secs" 10, "topology.workers" 7, "supervisor.childopts" "-Djava.net.preferIPv4Stack=true", "nimbus.thrift.port" 6627, "topology.stats.sample.rate" 0.05, "worker.heartbeat.frequency.secs" 1, "topology.acker.tasks" nil, "topology.disruptor.wait.strategy" "com.lmax.disruptor.BlockingWaitStrategy", "nimbus.task.timeout.secs" 30, "storm.zookeeper.connection.timeout" 15000, "topology.kryo.factory" "backtype.storm.serialization.DefaultKryoFactory", "drpc.invocations.port" 3773, "zmq.threads" 1, "storm.zookeeper.retry.times" 5, "topology.state.synchronization.timeout.secs" 60, "supervisor.worker.timeout.secs" 30, "nimbus.file.copy.expiration.secs" 600, "drpc.request.timeout.secs" 600, "storm.local.mode.zmq" false, "ui.port" 8080, "nimbus.childopts" "-Xmx1024m -Djava.net.preferIPv4Stack=true", "storm.cluster.mode" "distributed", "topology.optimize" true, "topology.max.task.parallelism" nil}
01:51:35:583;Worker 2a87867d-a111-4f21-8a14-1d053214313a for storm sg-app-storm-180-1406080291 on 4f4adac9-fbc5-43b3-b9fa-68ec9e768133:6703 has finished loading
01:51:35:671;AckSent
01:51:35:675;AckSent
01:51:35:676;AckSent
01:51:35:679;AckSent
01:51:35:695;AckSent
01:51:35:698;AckSent
01:51:35:707;AckSent
01:51:35:712;AckSent
01:51:35:751;AckSent
01:51:35:753;AckSent
01:51:35:773;AckSent
01:51:35:775;AckSent
01:51:35:778;AckSent
01:51:35:795;AckSent
01:51:35:798;AckSent
01:51:35:802;AckSent
01:51:35:820;AckSent
01:51:35:822;AckSent
01:51:35:828;AckSent
01:51:35:842;AckSent
01:51:35:875;AckSent
01:51:35:878;AckSent
01:51:35:911;AckSent
01:51:35:925;AckSent
01:51:35:936;AckSent
01:51:35:947;AckSent
01:51:35:949;AckSent
01:51:35:955;AckSent
01:51:35:961;AckSent
01:51:35:978;AckSent
01:51:35:986;AckSent
01:51:35:992;AckSent
01:51:36:013;AckSent
01:51:36:021;AckSent
01:51:36:032;AckSent
01:51:36:041;AckSent
01:51:36:052;AckSent
01:51:36:057;AckSent
01:51:36:079;AckSent
01:51:36:088;AckSent
01:51:36:093;AckSent
01:51:36:115;AckSent
01:51:36:129;AckSent
01:51:36:153;AckSent
01:51:36:167;AckSent
01:51:36:200;AckSent
01:51:36:205;AckSent
01:51:36:227;AckSent
01:51:36:245;AckSent
01:51:36:253;AckSent
01:51:36:255;AckSent
01:51:36:256;AckSent
01:51:36:283;AckSent
01:51:36:288;AckSent
01:51:36:296;AckSent
01:51:36:302;AckSent
01:51:36:319;AckSent
01:51:36:327;AckSent
01:51:36:330;AckSent
01:51:36:374;AckSent
01:51:36:381;AckSent
01:51:36:401;AckSent
01:51:36:410;AckSent
01:51:36:417;AckSent
01:51:36:465;AckSent
01:51:36:476;AckSent
01:51:36:506;AckSent
01:51:36:528;AckSent
01:51:36:559;AckSent
01:51:36:563;AckSent
01:51:36:576;AckSent
01:51:36:593;AckSent
01:51:36:597;AckSent
01:51:36:600;AckSent
01:51:36:605;AckSent
01:51:36:614;AckSent
01:51:36:631;AckSent
01:51:36:657;AckSent
01:51:36:676;AckSent
01:51:36:690;AckSent
01:51:36:696;AckSent
01:51:36:704;AckSent
01:51:36:715;AckSent
01:51:36:720;AckSent
01:51:36:723;AckSent
01:51:36:733;AckSent
01:51:36:748;AckSent
01:51:36:770;AckSent
01:51:36:790;AckSent
01:51:36:802;AckSent
01:51:36:808;AckSent
01:51:36:813;AckSent
01:51:36:819;AckSent
01:51:36:831;AckSent
01:51:36:850;AckSent
01:51:36:863;AckSent
01:51:36:922;AckSent
01:51:36:928;AckSent
01:51:36:931;AckSent
01:51:36:933;AckSent
01:51:36:973;AckSent
01:51:36:994;AckSent
01:51:37:002;AckSent
01:51:37:046;AckSent
01:51:37:070;AckSent
01:51:37:079;AckSent
01:51:37:084;AckSent
01:51:37:093;AckSent
01:51:37:145;AckSent
01:51:37:148;AckSent
01:51:37:153;AckSent
01:51:37:173;AckSent
01:51:37:181;AckSent
01:51:37:189;AckSent
01:51:37:214;AckSent
01:51:37:263;AckSent
01:51:37:266;AckSent
01:51:37:269;AckSent
01:51:37:271;AckSent
01:51:37:288;AckSent
01:51:37:369;AckSent
01:51:37:408;AckSent
01:51:37:413;AckSent
01:51:37:424;AckSent
01:51:37:429;AckSent
01:51:37:440;AckSent
01:51:37:467;AckSent
01:51:37:473;AckSent
01:51:37:482;AckSent
01:51:37:491;AckSent
01:51:37:512;AckSent
01:51:37:518;AckSent
01:51:37:558;AckSent
01:51:37:561;AckSent
01:51:37:588;AckSent
01:51:37:606;AckSent
01:51:37:618;AckSent
01:51:37:621;AckSent
01:51:37:634;AckSent
01:51:37:648;AckSent
01:51:37:656;AckSent
01:51:37:658;AckSent
01:51:37:661;AckSent
01:51:37:667;AckSent
01:51:37:673;AckSent
01:51:37:684;AckSent
01:51:37:687;AckSent
01:51:37:690;AckSent
01:51:37:699;AckSent
01:51:37:701;AckSent
01:51:37:717;AckSent
01:51:37:723;AckSent
01:51:37:749;AckSent
01:51:37:754;AckSent
01:51:37:766;AckSent
01:51:37:782;AckSent
01:51:37:785;AckSent
01:51:37:796;AckSent
01:51:37:799;AckSent
01:51:37:816;AckSent
01:51:37:828;AckSent
01:51:37:836;AckSent
01:51:37:870;AckSent
01:51:37:879;AckSent
01:51:37:881;AckSent
01:51:37:884;AckSent
01:51:37:889;AckSent
01:51:37:895;AckSent
01:51:37:912;AckSent
01:51:37:935;AckSent
01:51:37:970;AckSent
01:51:37:992;AckSent
01:51:38:006;AckSent
01:51:38:036;AckSent
01:51:38:039;AckSent
01:51:38:058;AckSent
01:51:38:063;AckSent
01:51:38:066;AckSent
01:51:38:069;AckSent
01:51:38:099;AckSent
01:51:38:107;AckSent
01:51:38:133;AckSent
01:51:38:141;AckSent
01:51:38:154;AckSent
01:51:38:163;AckSent
01:51:38:179;AckSent
01:51:38:192;AckSent
01:51:38:206;AckSent
01:51:38:208;AckSent
01:51:38:213;AckSent
01:51:38:221;AckSent
01:51:38:249;AckSent
01:51:38:265;AckSent
01:51:38:276;AckSent
01:51:38:295;AckSent
01:51:38:307;AckSent
01:51:38:314;AckSent
01:51:38:331;AckSent
01:51:38:339;AckSent
01:51:38:344;AckSent
01:51:38:347;AckSent
01:51:38:349;AckSent
01:51:38:384;AckSent
01:51:38:392;AckSent
01:51:38:450;AckSent
